# GRAS free-field corrections, dB relative to the pressure response at 250 Hz.
# Source: https://www.grasacoustics.com/fileadmin-gras/downloads/GRAS_Free-field_and_Random_Incidence_Corrections.xlsx
# SHA-256 13ab5f3ccbbf1ab53774496cdcc9765e2d79180a99df50309188a7e502e7620b
# family,grid,diameterMm,frequencyHz,deg0,deg30,deg60,deg90
HalfInchOpt2,Grid,12.7,25000,10.7,8.607317,3.407317,-2.506098
HalfInchOpt2,Grid,12.7,28000,11.1,8.531707,2.34878,-4.531707
HalfInchOpt2,Grid,12.7,31500,11.5,8.59878,1.052439,-7.080488
QuarterInch,Grid,6.35,500,0,0,0,-0.003553
QuarterInch,Grid,6.35,560,0,-0.010658,-0.012435,-0.015987
QuarterInch,Grid,6.35,630,0,-0.010658,-0.014211,-0.017764
QuarterInch,Grid,6.35,710,0,-0.010658,-0.015987,-0.01954
QuarterInch,Grid,6.35,800,0,-0.012435,-0.017764,-0.021317
QuarterInch,Grid,6.35,900,0,-0.014211,-0.021317,-0.024869
QuarterInch,Grid,6.35,1000,0.030199,0.015987,0.001776,-0.001776
QuarterInch,Grid,6.35,1120,0.035528,0.021317,0.001776,-0.001776
QuarterInch,Grid,6.35,1250,0.04441,0.033751,0.001776,-0.001776
QuarterInch,Grid,6.35,1400,0.053292,0.039081,0.001776,-0.001776
QuarterInch,Grid,6.35,1600,0.071056,0.056844,0.003553,-0.003553
QuarterInch,Grid,6.35,1800,0.079937,0.065726,0.005329,-0.005329
QuarterInch,Grid,6.35,2000,0.088819,0.071056,0.007106,-0.007106
QuarterInch,Grid,6.35,2240,0.106583,0.088819,0.007106,-0.007106
QuarterInch,Grid,6.35,2500,0.124347,0.106583,0.008882,-0.008882
QuarterInch,Grid,6.35,2800,0.142111,0.124347,0.015987,-0.015987
QuarterInch,Grid,6.35,3150,0.159875,0.142111,0.021317,-0.021317
QuarterInch,Grid,6.35,3550,0.195403,0.177639,0.033751,-0.033751
QuarterInch,Grid,6.35,4000,0.23093,0.23093,0.035528,-0.039081
QuarterInch,Grid,6.35,4500,0.301986,0.284222,0.071056,-0.056844
QuarterInch,Grid,6.35,5000,0.373042,0.337514,0.124347,-0.065726
QuarterInch,Grid,6.35,5600,0.461861,0.408569,0.177639,-0.071056
QuarterInch,Grid,6.35,6300,0.568444,0.479625,0.23093,-0.088819
QuarterInch,Grid,6.35,7100,0.692791,0.586208,0.301986,-0.106583
QuarterInch,Grid,6.35,8000,0.852666,0.692791,0.355278,-0.117242
QuarterInch,Grid,6.35,9000,1.048069,0.888194,0.461861,-0.142111
QuarterInch,Grid,6.35,10000,1.243472,1.012541,0.621736,-0.177639
QuarterInch,Grid,6.35,11200,1.483284,1.172416,0.692791,-0.195403
QuarterInch,Grid,6.35,12500,1.795929,1.403347,0.941486,-0.23093
QuarterInch,Grid,6.35,14000,2.184958,1.731979,1.261236,0.017764
QuarterInch,Grid,6.35,16000,2.682346,1.991331,1.403347,0.248694
QuarterInch,Grid,6.35,18000,3.126443,2.38036,1.634277,0.461861
QuarterInch,Grid,6.35,20000,3.789036,2.966568,1.989555,0.586208
QuarterInch,Grid,6.35,22400,4.600846,3.623832,2.344832,0.621736
QuarterInch,Grid,6.35,25000,5.311401,4.29886,2.646818,0.586208
QuarterInch,Grid,6.35,28000,6.164067,4.956123,3.037624,0.586208
QuarterInch,Grid,6.35,31500,7.016734,5.613387,3.428429,0.460085
QuarterInch,Grid,6.35,35500,7.709525,6.235123,3.694888,0.232707
QuarterInch,Grid,6.35,40000,8.047039,6.554873,3.515472,-0.390805
QuarterInch,Grid,6.35,45000,8.308168,6.67922,3.398231,-0.897076
QuarterInch,Grid,6.35,50000,8.308168,7.087789,3.623832,-1.314527
QuarterInch,Grid,6.35,56000,8.134082,6.501581,2.966568,-2.291541
QuarterInch,Grid,6.35,63000,7.578072,5.584965,1.522365,-4.067929
QuarterInch,Grid,6.35,71000,7.4,5.367812,0.290894,-5.150183
QuarterInch,Grid,6.35,80000,7.3,5.186098,-0.80033,-7.24862
QuarterInch,Grid,6.35,90000,7.2,5.560394,-0.804405,-8.496167
QuarterInch,NoGrid,6.35,500,0.001776,0.001776,0.001776,-0.001776
QuarterInch,NoGrid,6.35,560,0.014211,0.003553,0.001776,-0.001776
QuarterInch,NoGrid,6.35,630,0.015987,0.005329,0.001776,-0.001776
QuarterInch,NoGrid,6.35,710,0.017764,0.007106,0.001776,-0.001776
QuarterInch,NoGrid,6.35,800,0.01954,0.007106,0.001776,-0.001776
QuarterInch,NoGrid,6.35,900,0.023093,0.008882,0.001776,-0.001776
QuarterInch,NoGrid,6.35,1000,0.030199,0.015987,0.001776,-0.001776
QuarterInch,NoGrid,6.35,1120,0.035528,0.021317,0.001776,-0.001776
QuarterInch,NoGrid,6.35,1250,0.04441,0.033751,0.001776,-0.001776
QuarterInch,NoGrid,6.35,1400,0.053292,0.039081,0.001776,-0.001776
QuarterInch,NoGrid,6.35,1600,0.071056,0.056844,0.003553,-0.003553
QuarterInch,NoGrid,6.35,1800,0.079937,0.065726,0.005329,-0.005329
QuarterInch,NoGrid,6.35,2000,0.088819,0.071056,0.007106,-0.007106
QuarterInch,NoGrid,6.35,2240,0.106583,0.088819,0.007106,-0.007106
QuarterInch,NoGrid,6.35,2500,0.124347,0.106583,0.008882,-0.008882
QuarterInch,NoGrid,6.35,2800,0.142111,0.124347,0.015987,-0.015987
QuarterInch,NoGrid,6.35,3150,0.159875,0.142111,0.021317,-0.021317
QuarterInch,NoGrid,6.35,3550,0.195403,0.177639,0.033751,-0.033751
QuarterInch,NoGrid,6.35,4000,0.23093,0.23093,0.035528,-0.039081
QuarterInch,NoGrid,6.35,4500,0.301986,0.284222,0.071056,-0.056844
QuarterInch,NoGrid,6.35,5000,0.373042,0.337514,0.124347,-0.065726
QuarterInch,NoGrid,6.35,5600,0.461861,0.408569,0.177639,-0.071056
QuarterInch,NoGrid,6.35,6300,0.568444,0.479625,0.23093,-0.088819
QuarterInch,NoGrid,6.35,7100,0.692791,0.586208,0.301986,-0.106583
QuarterInch,NoGrid,6.35,8000,0.852666,0.692791,0.355278,-0.117242
QuarterInch,NoGrid,6.35,9000,1.048069,0.888194,0.461861,-0.142111
QuarterInch,NoGrid,6.35,10000,1.243472,1.012541,0.621736,-0.177639
QuarterInch,NoGrid,6.35,11200,1.483284,1.172416,0.692791,-0.195403
QuarterInch,NoGrid,6.35,12500,1.795929,1.403347,0.941486,-0.23093
QuarterInch,NoGrid,6.35,14000,2.184958,1.731979,1.261236,0.017764
QuarterInch,NoGrid,6.35,16000,2.682346,1.991331,1.403347,0.248694
QuarterInch,NoGrid,6.35,18000,3.126443,2.38036,1.634277,0.461861
QuarterInch,NoGrid,6.35,20000,3.789036,2.966568,1.989555,0.586208
QuarterInch,NoGrid,6.35,22400,4.600846,3.623832,2.344832,0.621736
QuarterInch,NoGrid,6.35,25000,5.311401,4.29886,2.646818,0.586208
QuarterInch,NoGrid,6.35,28000,6.164067,4.956123,3.037624,0.586208
QuarterInch,NoGrid,6.35,31500,7.016734,5.613387,3.428429,0.460085
QuarterInch,NoGrid,6.35,35500,7.709525,6.235123,3.694888,0.232707
QuarterInch,NoGrid,6.35,40000,8.047039,6.554873,3.515472,-0.390805
QuarterInch,NoGrid,6.35,45000,8.308168,6.67922,3.398231,-0.897076
QuarterInch,NoGrid,6.35,50000,8.308168,7.087789,3.623832,-1.314527
QuarterInch,NoGrid,6.35,56000,8.134082,6.501581,2.966568,-2.291541
QuarterInch,NoGrid,6.35,63000,7.578072,5.584965,1.522365,-4.067929
QuarterInch,NoGrid,6.35,71000,7.070025,5.037837,-0.039081,-5.480158
QuarterInch,NoGrid,6.35,80000,6.35947,4.245568,-1.74086,-8.18915
QuarterInch,NoGrid,6.35,90000,5.624045,3.984439,-2.38036,-10.072121
OneEighthInch,Grid,3.175,500,0,0,0,0
OneEighthInch,Grid,3.175,560,0.001996,0.000179,-0.0022,0.0131
OneEighthInch,Grid,3.175,630,0.005274,0.002166,0.0001,0.0136
OneEighthInch,Grid,3.175,710,0.009023,0.004448,0.0028,0.0143
OneEighthInch,Grid,3.175,800,0.013243,0.00703,0.0057,0.015
OneEighthInch,Grid,3.175,900,0.017937,0.009916,0.009,0.0158
OneEighthInch,Grid,3.175,1000,0.022635,0.012822,0.0123,0.0167
OneEighthInch,Grid,3.175,1120,0.02828,0.016334,0.0162,0.0176
OneEighthInch,Grid,3.175,1250,0.034405,0.020171,0.0204,0.0187
OneEighthInch,Grid,3.175,1400,0.041484,0.02464,0.0253,0.02
OneEighthInch,Grid,3.175,1600,0.050947,0.03067,0.0317,0.0217
OneEighthInch,Grid,3.175,1800,0.060438,0.036783,0.0381,0.0234
OneEighthInch,Grid,3.175,2000,0.069962,0.04298,0.0445,0.0251
OneEighthInch,Grid,3.175,2240,0.081437,0.050531,0.0521,0.0272
OneEighthInch,Grid,3.175,2500,0.09393,0.058854,0.0603,0.0295
OneEighthInch,Grid,3.175,2800,0.108433,0.068648,0.0697,0.0322
OneEighthInch,Grid,3.175,3150,0.125482,0.080337,0.0806,0.0354
OneEighthInch,Grid,3.175,3550,0.145154,0.094053,0.0931,0.0392
OneEighthInch,Grid,3.175,4000,0.167548,0.109955,0.1071,0.0435
OneEighthInch,Grid,3.175,4500,0.192789,0.128225,0.1226,0.0484
OneEighthInch,Grid,3.175,5000,0.218442,0.147151,0.1382,0.0534
OneEighthInch,Grid,3.175,5600,0.249818,0.170754,0.157,0.0596
OneEighthInch,Grid,3.175,6300,0.287313,0.199563,0.1792,0.0671
OneEighthInch,Grid,3.175,7100,0.331443,0.234225,0.205,0.0761
OneEighthInch,Grid,3.175,8000,0.382862,0.275516,0.2348,0.0866
OneEighthInch,Grid,3.175,9000,0.442384,0.324346,0.269,0.0988
OneEighthInch,Grid,3.175,10000,0.504612,0.376384,0.3047,0.1117
OneEighthInch,Grid,3.175,11200,0.58311,0.443193,0.3496,0.1279
OneEighthInch,Grid,3.175,12500,0.673159,0.521084,0.4013,0.1466
OneEighthInch,Grid,3.175,14000,0.783914,0.618249,0.4654,0.1695
OneEighthInch,Grid,3.175,16000,0.943619,0.760185,0.5588,0.2022
OneEighthInch,Grid,3.175,18000,1.117676,0.91642,0.6623,0.2375
OneEighthInch,Grid,3.175,20000,1.306506,1.086954,0.7762,0.2751
OneEighthInch,Grid,3.175,22400,1.552856,1.310223,0.9274,0.3233
OneEighthInch,Grid,3.175,25000,1.843948,1.574371,1.1089,0.3788
OneEighthInch,Grid,3.175,28000,2.21028,1.906491,1.3409,0.4466
OneEighthInch,Grid,3.175,31500,2.676572,2.327978,1.6399,0.5293
OneEighthInch,Grid,3.175,35500,3.255634,2.848832,2.0144,0.6265
OneEighthInch,Grid,3.175,40000,3.956232,3.474845,2.4683,0.7357
OneEighthInch,Grid,3.175,45000,4.779458,4.204439,2.9977,0.8508
OneEighthInch,Grid,3.175,50000,5.629069,4.950436,3.5338,0.9522
OneEighthInch,Grid,3.175,56000,6.650964,5.837532,4.1554,1.0442
OneEighthInch,Grid,3.175,63000,7.794987,6.814708,4.8032,1.0921
OneEighthInch,Grid,3.175,71000,8.962678,7.786509,5.3741,1.0395
OneEighthInch,Grid,3.175,80000,9.999704,8.605624,5.7192,0.8025
OneEighthInch,Grid,3.175,90000,10.701895,9.076715,5.6584,0.2671
